session_examen;academie;code_region;libelle_region;tranche_age;serie;inscrits;presents;admis;admis_sans_mention;admis_ab;admis_b;admis_tb;inscrits_filles;presents_filles;admis_filles;admis_sans_mention_filles;admis_ab_filles;admis_b_filles;admis_tb_filles
2013;LYON;84;Auvergne-et-Rhône-Alpes;16 ans;SERIE PROFESSIONNELLE;1980;1887;1599;942;552;103;2;798;767;652;372;241;39;0
2013;NANCY-METZ;44;Grand-Est;17 ans ou plus;SERIE PROFESSIONNELLE;336;271;177;120;49;7;1;134;107;68;48;20;0;0
2013;POITIERS;75;Nouvelle-Aquitaine;15 ans ou moins;SERIE PROFESSIONNELLE;517;505;432;248;150;31;3;179;178;158;79;64;14;1
2013;STRASBOURG;44;Grand-Est;17 ans ou plus;SERIE PROFESSIONNELLE;192;136;87;68;16;3;0;103;74;48;38;8;2;0
2013;NANTES;52;Pays-de-la-Loire;17 ans ou plus;SERIE PROFESSIONNELLE;1616;1122;643;463;158;20;2;706;498;289;208;71;9;1
2013;ORLEANS-TOURS;24;Centre-Val-de-Loire;16 ans;SERIE PROFESSIONNELLE;1653;1544;1104;754;302;45;3;626;589;438;319;100;17;2
2013;AMIENS;32;Hauts-de-France;17 ans ou plus;SERIE PROFESSIONNELLE;356;268;185;139;35;10;1;172;137;93;69;20;4;0
2013;ROUEN;28;Normandie;17 ans ou plus;SERIE PROFESSIONNELLE;400;290;190;148;34;8;0;154;108;72;55;14;3;0
2013;NICE;93;Provence-Alpes-Côte-d'Azur;15 ans ou moins;SERIE PROFESSIONNELLE;480;460;352;228;104;20;0;192;185;149;100;41;8;0
2013;CRETEIL;11;Île-de-France;16 ans;SERIE PROFESSIONNELLE;1627;1386;1025;741;236;45;3;609;513;376;268;91;16;1
2013;VERSAILLES;11;Île-de-France;15 ans ou moins;SERIE PROFESSIONNELLE;716;690;555;362;153;40;0;257;247;198;122;59;17;0
2013;VERSAILLES;11;Île-de-France;17 ans ou plus;SERIE PROFESSIONNELLE;1354;930;499;386;88;23;2;568;403;207;166;34;6;1
2013;CORSE;94;Corse;17 ans ou plus;SERIE PROFESSIONNELLE;12;11;9;7;1;1;0;9;9;8;6;1;1;0
2013;LA REUNION;04;La-Réunion;15 ans ou moins;SERIE PROFESSIONNELLE;968;946;827;435;298;93;1;415;402;361;181;143;36;1
2013;LA REUNION;04;La-Réunion;17 ans ou plus;SERIE PROFESSIONNELLE;153;129;79;51;20;8;0;55;50;31;22;7;2;0
2013;GUADELOUPE;01;Guadeloupe;15 ans ou moins;SERIE PROFESSIONNELLE;223;218;157;118;37;2;0;98;94;70;46;22;2;0
2013;GUYANE;03;Guyane;16 ans;SERIE PROFESSIONNELLE;189;180;120;102;17;1;0;83;81;56;49;7;0;0
2013;MAYOTTE;06;Mayotte;16 ans;SERIE PROFESSIONNELLE;15;13;11;8;3;0;0;3;3;3;3;0;0;0
2014;PARIS;11;Île-de-France;16 ans;SERIE GENERALE;2831;2761;1721;1222;400;83;16;1221;1194;781;537;193;42;9
2014;AIX-MARSEILLE;93;Provence-Alpes-Côte-d'Azur;16 ans;SERIE GENERALE;4812;4540;2701;2095;514;78;14;2213;2109;1314;995;270;44;5
2014;AIX-MARSEILLE;93;Provence-Alpes-Côte-d'Azur;15 ans ou moins;SERIE GENERALE;25314;25108;22538;7852;7125;5048;2513;13038;12952;11800;3763;3709;2835;1493
2014;AIX-MARSEILLE;93;Provence-Alpes-Côte-d'Azur;17 ans ou plus;SERIE GENERALE;383;327;186;152;27;7;0;187;160;91;73;11;7;0
2014;BESANCON;27;Bourgogne-et-Franche-Comté;17 ans ou plus;SERIE GENERALE;142;131;69;48;18;3;0;61;57;27;18;7;2;0
2014;CAEN;28;Normandie;16 ans;SERIE GENERALE;2859;2761;1530;1082;373;71;4;1388;1339;773;547;182;42;2
2014;CLERMONT-FERRAND;84;Auvergne-et-Rhône-Alpes;15 ans ou moins;SERIE GENERALE;11255;11206;10297;3332;3221;2428;1316;5751;5728;5415;1596;1663;1347;809
2014;DIJON;27;Bourgogne-et-Franche-Comté;16 ans;SERIE GENERALE;2705;2589;1480;1106;324;43;7;1267;1225;743;548;173;18;4
2014;DIJON;27;Bourgogne-et-Franche-Comté;17 ans ou plus;SERIE GENERALE;193;165;77;58;15;3;1;104;89;44;31;9;3;1
2014;GRENOBLE;84;Auvergne-et-Rhône-Alpes;16 ans;SERIE GENERALE;5513;5245;3329;2705;512;100;12;2456;2351;1572;1264;250;53;5
2014;GRENOBLE;84;Auvergne-et-Rhône-Alpes;15 ans ou moins;SERIE GENERALE;30418;30287;28275;9404;8816;6821;3234;15644;15588;14764;4524;4429;3809;2002
2014;LYON;84;Auvergne-et-Rhône-Alpes;16 ans;SERIE GENERALE;5882;5556;3673;2784;754;113;22;2680;2546;1776;1329;372;61;14
2014;MONTPELLIER;76;Occitanie;17 ans ou plus;SERIE GENERALE;395;308;129;103;20;5;1;171;137;59;48;7;3;1
2014;NANCY-METZ;44;Grand-Est;15 ans ou moins;SERIE GENERALE;20328;20241;18403;5292;5539;4501;3071;10469;10428;9683;2510;2819;2464;1890
2014;POITIERS;75;Nouvelle-Aquitaine;16 ans;SERIE GENERALE;2731;2631;1589;1128;395;59;7;1244;1199;743;508;201;30;4
2014;RENNES;53;Bretagne;15 ans ou moins;SERIE GENERALE;30824;30741;28868;6754;9387;8008;4719;15928;15887;15152;3141;4581;4433;2997
2014;TOULOUSE;76;Occitanie;16 ans;SERIE GENERALE;4314;4162;2685;1993;586;92;14;2027;1959;1328;950;315;55;8
2014;TOULOUSE;76;Occitanie;17 ans ou plus;SERIE GENERALE;317;274;153;130;22;1;0;141;120;71;64;7;0;0
2014;LIMOGES;75;Nouvelle-Aquitaine;17 ans ou plus;SERIE GENERALE;103;95;40;34;4;2;0;54;51;21;19;2;0;0
2014;CRETEIL;11;Île-de-France;15 ans ou moins;SERIE GENERALE;39587;39321;35641;13636;10653;7471;3881;20452;20345;18981;6555;5576;4419;2431
2014;CRETEIL;11;Île-de-France;17 ans ou plus;SERIE GENERALE;1001;922;523;384;109;26;4;484;452;282;206;59;14;3
2014;LA REUNION;04;La-Réunion;15 ans ou moins;SERIE GENERALE;10017;9931;8670;2923;2465;2046;1236;5393;5361;4811;1558;1327;1155;771
2014;LA REUNION;04;La-Réunion;17 ans ou plus;SERIE GENERALE;126;108;60;48;10;1;1;59;51;30;21;7;1;1
2014;GUYANE;03;Guyane;16 ans;SERIE GENERALE;1235;1161;715;581;105;26;3;632;589;398;326;51;18;3
